Team,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
UC Santa Barbara,10,40.5,27,55.3,48.8,21.5,38.8,55.4,5.5,16.5,33.3,13.9,20.4,68.1,10.2,27.7,37.9,15.3,7,3.2,14,15.8,73.4
Hawaii,9,40.6,25.9,57.8,44.8,18.4,35,52.7,7.4,22.8,32.7,10.8,15.3,70.3,11,24.8,35.8,14.2,4.9,4.3,11,15.6,70
UC Irvine,11,40,30,63.1,47.6,21.7,43.4,50.1,8.3,19.7,41.9,11.3,16.1,70.1,11.7,28.5,40.2,16.5,7.6,2.8,13.1,18.7,79.5
UC Davis,11,40.5,27.7,59.4,46.7,20.5,38.9,52.6,7.3,20.5,35.6,17.5,27.4,64.1,13,29.5,42.5,14.3,6.6,3.8,15.5,19.7,80.3
UC Riverside,10,40,27.5,61.2,44.9,19.7,37.7,52.3,7.8,23.5,33.2,9.5,13.8,68.8,10.3,27.3,37.6,12.7,5.3,1.4,12.1,17.9,72.3
CSU Fullerton,10,42,24.3,58,41.9,17.2,37.6,45.7,7.1,20.4,34.8,12.9,20.3,63.5,10.7,24.2,34.9,11,5.6,2.5,12.6,20,68.6
Long Beach State,10,40,28.6,62.6,45.7,24.4,48.6,50.2,4.2,14,30,10.8,17.5,617,12.3,25.5,37.8,13.6,8.6,2.7,13.8,17.7,72.2
CSU Northridge,9,40,24.9,59.8,41.6,19,40.3,47.1,5.9,19.4,30.3,12.4,17.6,70.9,11.8,26.9,38.7,11.3,5.7,3.1,10.3,19.2,68.1
CSU Bakersfield,10,40.5,23.5,56,42,18.7,41.7,44.8,4.8,14.3,33.6,9.1,13.6,66.9,11.6,25.3,36.9,11.5,5.7,4,13.3,18.4,60.9
Cal Poly,10,40,22.8,52.7,43.3,16.6,33.7,49.3,6.2,19,32.6,12.8,17.5,73.1,9,24.9,33.9,10,6.4,2.5,14.5,19.9,64.6
UC San Diego,11,40.5,24.1,57.9,41.6,16.8,34.3,49.1,7.3,23.6,30.8,11.8,16.6,71,10.6,26.4,37,12.5,6.1,2,12.3,16.5,67.3
