Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Ajay Mitchell,10,10,30.3,5,10.2,49,4.3,7.6,56.6,0.7,2.6,26.9,4,4.8,83.3,0.7,2.3,3,4.7,1.8,0.3,2.5,2.3,14.7
Miles Norris,10,10,32.9,5,10.5,47.6,3.9,6.9,56.5,1.1,3.6,30.6,2,2.8,71.4,2.1,4.4,6.5,1.9,0.9,1.1,1.4,1,13.1
Josh Pierre-Louis,9,7,25.3,4.3,8.2,52.7,4.1,7.4,55.2,0.2,0.8,28.6,1.6,2.3,66.7,0.9,2.9,3.8,2.3,1.4,0.2,2.8,1.9,10.4
Andre Kelly,10,10,29.5,4.2,7.5,56,4.2,7.4,56.8,0,0.1,0,1.6,2.5,64,1.7,6.3,8,1.2,0.4,1.1,1.7,2.6,10
Ajare Sanni,9,9,19.2,2.7,6.3,42.1,1.8,3.6,50,0.9,2.8,32,1.4,2,72.2,0.1,2.2,2.3,1.1,0.8,0,1.2,0.8,7.7
Cole Anderson,10,1,19.6,2.7,5.1,52.9,0.8,1.3,61.5,1.9,3.8,50,0.3,0.7,42.9,0.2,1.3,1.5,0.8,0.3,0.2,0.4,1.3,7.6
Calvin Wishart,10,3,23.8,2.1,4.5,46.7,1.4,2.6,53.8,0.7,1.9,36.8,2.1,3.1,67.7,0.3,2.8,3.1,3.1,1.2,0,1.9,3.1,7
Jakov Kukic,8,0,8,0.6,1.1,55.6,0.6,1.1,55.6,0,0,,1,1.9,53.3,1.8,1.3,3,0.1,0.1,0,0.6,0.8,2.3
Zach Harvey,5,0,8,1,2.4,41.7,0.8,1.2,66.7,0.2,1.2,16.7,0,0,,0.2,0.4,0.6,0,0,0,0.6,0.4,2.2
Gage Gomez,2,0,5.5,0,0,,0,0,,0,0,,1,1,1,0,0,0,1,0,0,0,0,1
Koat Keat Tong,9,0,7.1,0.4,0.9,50,0.4,0.8,57.1,0,0.1,0,0.1,0.4,25,0.7,1.4,2.1,0.1,0.2,0.1,0.3,1.3,1
Evans Kipruto,4,0,4,0.5,1,50,0.5,1,50,0,0,,0,0,,0.8,0.5,1.3,0,0,0.3,0.3,0.8,1
David Pickles,1,0,3,0,1,0,0,0,,0,1,0,1,2,5,1,0,1,0,0,0,0,1,1
Matija Belic,6,0,8.2,0.2,1.2,14.3,0.2,0.5,33.3,0,0.7,0,0,0.2,0,0.3,0.7,1,0.2,0.2,0.2,0.5,1,0.3
Ariel Bland,2,0,3.5,0,0.5,0,0,0.5,0,0,0,,0,0,,0,1.5,1.5,0,0,0,1,0.5,0
Henry Hartwell,2,0,2,0,0.5,0,0,0,,0,0.5,0,0,1,0,0,0.5,0.5,0,0,0,0.5,0,0
Max Sheldon,2,0,2,0,0.5,0,0,0.5,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0
