Player,G,GS,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jaquori McLaughlin,26,26,32.3,5.3,10.9,0.488,3.7,6.9,0.533,1.6,4,0.408,3.8,4.6,0.832,0.7,2.8,3.5,5.2,1.5,0.2,2,1.5,16
Amadou Sow,26,25,26,5.2,9,0.573,5.1,8.5,0.602,0,0.5,0.077,3.3,4,0.825,2.2,5.4,7.6,0.6,0.6,0.6,2,2.3,13.6
Ajare Sanni,25,1,24,3.6,8.9,0.408,2,4.6,0.422,1.7,4.3,0.393,1.9,2.4,0.787,0.4,2.3,2.7,1.7,0.7,0,1.2,1.1,10.9
Miles Norris,27,25,25.5,3.8,7.9,0.481,2.6,4.8,0.546,1.1,3,0.378,1,1.4,0.757,0.7,3.8,4.6,1.8,0.7,0.9,0.9,1.6,9.7
Devearl Ramsey,27,27,30.7,2.4,6.3,0.388,1.3,3.1,0.422,1.1,3.2,0.356,1.7,1.9,0.9,0.7,2.2,2.9,3.6,1.6,0,1.1,1.8,7.7
Josh Pierre-Louis,23,0,14.7,2.4,4.4,0.549,2.1,3.3,0.653,0.3,1.2,0.259,1,1.6,0.611,0.4,2.1,2.5,1.6,1.3,0.3,1.2,2,6.1
Robinson Idehen,27,3,11.8,1.9,2.7,0.694,1.9,2.7,0.694,0,0,,1.2,2,0.582,1.6,1.8,3.4,0.2,0.1,0.6,0.6,2.1,4.9
Niko Rocak,2,0,5,1.5,1.5,1,1.5,1.5,1,0,0,,1,1,1,1,0.5,1.5,0,0,1,0.5,0.5,4
Destin Barnes,27,1,12.9,1.2,3.3,0.36,0.8,1.6,0.5,0.4,1.7,0.234,0.1,0.4,0.182,0.4,0.6,1,0.5,0.2,0.1,0.6,1.2,2.9
Brandon Cyrus,27,27,15.3,1.2,2.4,0.508,1,1.6,0.619,0.3,0.9,0.304,0.2,0.3,0.667,0.6,1.3,1.9,0.8,0.4,0.1,0.4,1.6,2.9
Sekou Toure,17,0,10.1,1,2.1,0.486,0.8,1.5,0.538,0.2,0.5,0.333,0.4,0.8,0.5,0.7,2.1,2.8,0.6,0.5,0,0.6,1,2.6
Jay Nagle,16,0,6.6,0.5,1.6,0.32,0.2,0.3,0.75,0.3,1.3,0.238,0.4,0.7,0.636,0,0.8,0.8,0.4,0.1,0,0.1,0.3,1.8
Jakov Kukic,14,0,6,0.4,1,0.429,0.4,1,0.429,0,0,,0.5,0.9,0.583,0.8,1,1.8,0.1,0.1,0,0.6,0.8,1.4
Kyle MacLean,2,0,3.5,0.5,1.5,0.333,0.5,1,0.5,0,0.5,0,0,0,,0,1,1,0.5,0.5,0,0,0,1
Gage Gomez,8,0,2.6,0.3,0.5,0.5,0.1,0.3,0.5,0.1,0.3,0.5,0.3,0.3,1,0,0.5,0.5,0.4,0,0.1,0.1,0.1,0.9
